Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,1059,,0.8443331415477032,,0.435780082625918,,,0.9999458979913444,0.9499142657091256,0.8997512874968372,0.8499386516931643,0.7999422604170958,0.7499594234935082,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,1
2,,1059,,0.8442691228939931,,0.4355103323321911,,,0.999891798909716,0.9498285391554814,0.8995026437246846,0.8498773078141105,0.7998845250015159,0.7499188491822869,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,2
3,,1059,,0.8442051090942769,,0.43524074901539556,,,0.9998377027549566,0.949742820338369,0.8992540686645488,0.8498159683625193,0.7998267937529595,0.7498782770662173,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,3
4,,1059,,0.8441411001481871,,0.4349713325721717,,,0.9997836095269079,0.9496571092570902,0.8990055622974412,0.8497546333380709,0.7997690666711259,0.7498377071451808,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,4
5,,1059,,0.8440770960553551,,0.43470208289922413,,,0.9997295192254115,0.9495714059109471,0.8987571246043787,0.8496933027404461,0.7997113437557143,0.7497971394190585,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,5
6,,1059,,0.8440130968154129,,0.4344329998933208,,,0.999675431850309,0.9494857102992416,0.8985087555663834,0.8496319765693251,0.799653625006424,0.7497565738877315,,,0.10671296296296295,0.17800925925925926,0.545138888888889,0.1423611111111111,0.1423611111111111,0.10671296296296295,,,0.461,0.7689999999999999,2.3549999999999995,0.615,0.615,0.46099999999999997,,00:12:12,,0.8793333333333333,,,1059,6
