Count,,Secili Rota,,POTC,,Reliability,,Robot Reliability ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Zaman ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Robot Mesafe ->,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,,Ortalama Zaman,,Ortalama Mesafe,,Rota Secilme Miktari ->,Rota Numarasi,Secilme Miktari
1,,1055,,0.880628286012218,,0.43576780832645456,,,0.9999278255213696,0.9499314342453011,0.8997259448591501,0.849923290371323,0.7999567183930755,0.7499594234935082,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,1
2,,1055,,0.880560870539817,,0.4354857992744907,,,0.9998556562518947,0.9498628734393,0.899451973169656,0.8498465876654308,0.7999134391277728,0.7499188491822869,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,2
3,,1055,,0.880493460228329,,0.4352039727259239,,,0.9997834921911991,0.9497943175816393,0.8991780849061061,0.8497698918816986,0.7998701622039652,0.7498782770662173,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,3
4,,1055,,0.8804260550773588,,0.43492232856264645,,,0.9997113333389069,0.9497257666719618,0.8989042800430971,0.8496932030195019,0.7998268876215262,0.7498377071451808,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,4
5,,1055,,0.8803586550865111,,0.4346408666666271,,,0.9996391796946423,0.9496572207099107,0.8986305585552332,0.849616521078216,0.799783615380329,0.7497971394190585,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,5
6,,1055,,0.8802912602553916,,0.4343595869199103,,,0.9995670312580294,0.9495886796951285,0.8983569204171256,0.8495398460572162,0.7997403454802471,0.7497565738877315,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,6
7,,1055,,0.8802238705836047,,0.43407848920461756,,,0.9994948880286922,0.9495201436272583,0.8980833656033941,0.849463177955878,0.7996970779211535,0.7497160105510814,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,7
8,,1055,,0.8801564860707555,,0.4337975734029465,,,0.9994227500062551,0.9494516125059431,0.897809894088666,0.849386516773577,0.7996538127029219,0.7496754494089892,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,8
9,,1055,,0.8800891067164495,,0.4335168393971708,,,0.999350617190342,0.9493830863308259,0.897536505847576,0.8493098625096888,0.7996105498254255,0.7496348904613364,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,9
10,,1055,,0.8800217325202913,,0.43323628706964046,,,0.9992784895805774,0.9493145651015495,0.8972632008547672,0.8492332151635889,0.7995672892885376,0.749594333708004,,,0.1423611111111111,0.1423611111111111,0.6006944444444444,0.17800925925925926,0.10671296296296295,0.10671296296296295,,,0.615,0.615,2.5949999999999993,0.7689999999999999,0.461,0.46099999999999997,,00:12:46,,0.9193333333333333,,,1055,10
